Itération 481, nodeeco: 322
Itération 480, nodeeco: 312
Itération 479, nodeeco: 320
Itération 478, nodeeco: 330
Itération 477, nodeeco: 292
Itération 476, nodeeco: 321
Itération 475, nodeeco: 303
Itération 474, nodeeco: 330
Itération 473, nodeeco: 320
Itération 472, nodeeco: 318
Itération 471, nodeeco: 318
Itération 470, nodeeco: 313
Itération 469, nodeeco: 319
Itération 468, nodeeco: 327
Itération 467, nodeeco: 322
Itération 466, nodeeco: 302
Itération 465, nodeeco: 323
Itération 464, nodeeco: 304
Itération 463, nodeeco: 295
Itération 462, nodeeco: 305
Itération 461, nodeeco: 303
Itération 460, nodeeco: 323
Itération 459, nodeeco: 298
Itération 458, nodeeco: 271
Itération 457, nodeeco: 328
Itération 456, nodeeco: 296
Itération 455, nodeeco: 311
Itération 454, nodeeco: 294
Itération 453, nodeeco: 283
Itération 452, nodeeco: 277
Itération 451, nodeeco: 304
Itération 450, nodeeco: 315
Itération 449, nodeeco: 314
Itération 448, nodeeco: 300
Itération 447, nodeeco: 306
Itération 446, nodeeco: 304
Itération 445, nodeeco: 326
Itération 444, nodeeco: 296
Itération 443, nodeeco: 307
Itération 442, nodeeco: 307
Itération 441, nodeeco: 292
Itération 440, nodeeco: 304
Itération 439, nodeeco: 328
Itération 438, nodeeco: 296
Itération 437, nodeeco: 299
Itération 436, nodeeco: 296
Itération 435, nodeeco: 282
Itération 434, nodeeco: 261
Itération 433, nodeeco: 278
Itération 432, nodeeco: 298
Itération 431, nodeeco: 288
Itération 430, nodeeco: 303
Itération 429, nodeeco: 302
Itération 428, nodeeco: 316
Itération 427, nodeeco: 298
Itération 426, nodeeco: 296
Itération 425, nodeeco: 287
Itération 424, nodeeco: 297
Itération 423, nodeeco: 282
Itération 422, nodeeco: 278
Itération 421, nodeeco: 294
Itération 420, nodeeco: 269
Itération 419, nodeeco: 256
Itération 418, nodeeco: 265
Itération 417, nodeeco: 267
Itération 416, nodeeco: 286
Itération 415, nodeeco: 262
Itération 414, nodeeco: 276
Itération 413, nodeeco: 255
Itération 412, nodeeco: 284
Itération 411, nodeeco: 293
Itération 410, nodeeco: 281
Itération 409, nodeeco: 250
Itération 408, nodeeco: 289
Itération 407, nodeeco: 274
Itération 406, nodeeco: 258
Itération 405, nodeeco: 261
Itération 404, nodeeco: 271
Itération 403, nodeeco: 272
Itération 402, nodeeco: 281
Itération 401, nodeeco: 264
Itération 400, nodeeco: 255
Itération 399, nodeeco: 278
Itération 398, nodeeco: 268
Itération 397, nodeeco: 270
Itération 396, nodeeco: 263
Itération 395, nodeeco: 273
Itération 394, nodeeco: 290
Itération 393, nodeeco: 271
Itération 392, nodeeco: 267
Itération 391, nodeeco: 261
Itération 390, nodeeco: 265
Itération 389, nodeeco: 262
Itération 388, nodeeco: 247
Itération 387, nodeeco: 244
Itération 386, nodeeco: 251
Itération 385, nodeeco: 267
Itération 384, nodeeco: 243
Itération 383, nodeeco: 269
Itération 382, nodeeco: 250
Itération 381, nodeeco: 262
Itération 380, nodeeco: 263
Itération 379, nodeeco: 239
Itération 378, nodeeco: 272
Itération 377, nodeeco: 257
Itération 376, nodeeco: 255
Itération 375, nodeeco: 257
Itération 374, nodeeco: 257
Itération 373, nodeeco: 248
Itération 372, nodeeco: 244
Itération 371, nodeeco: 257
Itération 370, nodeeco: 238
Itération 369, nodeeco: 240
Itération 368, nodeeco: 266
Itération 367, nodeeco: 257
Itération 366, nodeeco: 233
Itération 365, nodeeco: 243
Itération 364, nodeeco: 243
Itération 363, nodeeco: 257
Itération 362, nodeeco: 232
Itération 361, nodeeco: 248
Itération 360, nodeeco: 264
Itération 359, nodeeco: 245
Itération 358, nodeeco: 237
